question_item_id;answer_code;label;value
q0101;A1;1 = No knowledge;0
q0101;A2;2 = Low;1
q0101;A3;3 = Partly;2
q0101;A4;4 = Good;3
q0101;A5;5 = Very good knowledge;4
q0102;N;No;0
q0102;Y;Yes;1
q0103;A1;0 - 2 hours per week;1
q0103;A2;2 - 4 hours per week;2
q0103;A3;4  - 6 hours per week;3
q0103;A4;More than 6 hours;4
q0104;A1;0;0
q0104;A2;1;1
q0104;A3;2;2
q0104;A4;3;3
q0104;A5;More than 3;4
q0201;A1;0 = Not specified;996
q0201;A2;1 = This is not relevant to me;0
q0201;A3;2 = This is also relevant to me;1
q0201;A4;3 = This is the main focus for me;2
q0202;N;No;0
q0202;Y;Yes;1
q0203;A1;1 = Not true;0
q0203;A2;2 = Rather not true;1
q0203;A3;3 = Partly true;2
q0203;A4;4 = Rather true;3
q0203;A5;5 = True;4
q0301;A1;1 =  Never;0
q0301;A2;2 = Rarely;1
q0301;A3;3 = Occasionally;2
q0301;A4;4 = Often;3
q0301;A5;5 = Very often;4
q0302;A1;1 = No knowledge;0
q0302;A2;2 = Low;1
q0302;A3;3 = Partly;2
q0302;A4;4 = Good;3
q0302;A5;5 = Very good knowledge;4
q0303;N;No;0
q0303;Y;Yes;1
q0304;Y;Yes;1
q0305;Y;Yes;1
q0306;Y;Yes;1
q0307;Y;Yes;1
q0401;Y;Yes;1
q0402;A1;16 to 17 years old;1
q0402;A2;18 to 24 years old;2
q0402;A3;25 to 30 years old;3
q0402;A4;31 to 35 years old;4
q0402;A5;36 to 40 years old;5
q0402;A6;41 years and older;6
q0403;Y;Yes;1
q0405;A1;1;1
q0405;A10;10;10
q0405;A2;2;2
q0405;A3;3;3
q0405;A4;4;4
q0405;A5;5;5
q0405;A6;6;6
q0405;A7;7;7
q0405;A8;8;8
q0405;A9;9;9
q0406;A1;1;1
q0406;A10;10;10
q0406;A2;2;2
q0406;A3;3;3
q0406;A4;4;4
q0406;A5;5;5
q0406;A6;6;6
q0406;A7;7;7
q0406;A8;8;8
q0406;A9;9;9
q0407;A1;1;1
q0407;A10;10;10
q0407;A2;2;2
q0407;A3;3;3
q0407;A4;4;4
q0407;A5;5;5
q0407;A6;6;6
q0407;A7;7;7
q0407;A8;8;8
q0407;A9;9;9
q0408;Y;Yes;1
q0409;N;No;0
q0409;Y;Yes;1
q0410;A1;Yes, through the status as “Aussiedler*in” oder “Spätaussiedler*in” (or as a descendant or spouse of a “(Spät-)Aussiedler*in”).;1
q0410;A2;Yes, by naturalization.;2
q0410;A3;Yes, by birth.;3
q0410;A4;No;0
q0411;N;No;0
q0411;Y;Yes;1
q0412;A1;I don't know.;998
q0412;A10;Armenia [ARM];10
q0412;A100;Latvia [LVA];100
q0412;A101;Lebanon [LBN];101
q0412;A102;Lesotho [LSO];102
q0412;A103;Liberia [LBR];103
q0412;A104;Libya [LBY];104
q0412;A105;Liechtenstein [LIE];105
q0412;A106;Lithuania [LTU];106
q0412;A107;Luxembourg [LUX];107
q0412;A108;Madagascar [MDG];108
q0412;A109;Malawi [MWI];109
q0412;A11;Australia [AUS];11
q0412;A110;Malaysia [MYS];110
q0412;A111;Maldives [MDV];111
q0412;A112;Mali [MLI];112
q0412;A113;Malta [MLT];113
q0412;A114;Marshall Islands [MHL];114
q0412;A115;Mauritania [MRT];115
q0412;A116;Mauritius [MUS];116
q0412;A117;Mexico [MEX];117
q0412;A118;Moldova [MDA];118
q0412;A119;Monaco [MCO];119
q0412;A12;Austria [AUT];12
q0412;A120;Mongolia [MNG];120
q0412;A121;Montenegro [MNE];121
q0412;A122;Morocco [MAR];122
q0412;A123;Mozambique [MOZ];123
q0412;A124;Myanmar [MMR];124
q0412;A125;Namibia [NAM];125
q0412;A126;Nauru [NRU];126
q0412;A127;Nepal [NPL];127
q0412;A128;Netherlands [NLD];128
q0412;A129;New Zealand [NZL];129
q0412;A13;Azerbaijan [AZE];13
q0412;A130;Nicaragua [NIC];130
q0412;A131;Niger [NER];131
q0412;A132;Nigeria [NGA];132
q0412;A133;North Korea [PRK];133
q0412;A134;Northern Cyprus [];134
q0412;A135;Northern Macedonia [MKD];135
q0412;A136;Norway [NOR];136
q0412;A137;Oman [OMN];137
q0412;A138;Pakistan [PAK];138
q0412;A139;Palau [PLW];139
q0412;A14;Bahamas [BHS];14
q0412;A140;Palestine [PSE];140
q0412;A141;Panama [PAN];141
q0412;A142;Papua New Guinea [PNG];142
q0412;A143;Paraguay [PRY];143
q0412;A144;Peru [PER];144
q0412;A145;Philippines [PHL];145
q0412;A146;Poland [POL];146
q0412;A147;Portugal [PRT];147
q0412;A148;Qatar [QAT];148
q0412;A149;Romania [ROU];149
q0412;A15;Bahrain [BHR];15
q0412;A150;Russia [RUS];150
q0412;A151;Rwanda [RWA];151
q0412;A152;Saint Kitts and Nevis [KNA];152
q0412;A153;Saint Lucia [LCA];153
q0412;A154;Saint Vincent and the Grenadines [VCT];154
q0412;A155;Samoa [WSM];155
q0412;A156;San Marino [SMR];156
q0412;A157;São Tomé and Príncipe [STP];157
q0412;A158;Saudi Arabia [SAU];158
q0412;A159;Senegal [SEN];159
q0412;A16;Bangladesh [BGD];16
q0412;A160;Serbia [SRB];160
q0412;A161;Seychelles [SYC];161
q0412;A162;Sierra Leone [SLE];162
q0412;A163;Singapore [SGP];163
q0412;A164;Slovakia [SVK];164
q0412;A165;Slovenia [SVN];165
q0412;A166;Solomon Islands [SLB];166
q0412;A167;Somalia [SOM];167
q0412;A168;South Africa [ZAF];168
q0412;A169;South Korea [KOR];169
q0412;A17;Barbados [BRB];17
q0412;A170;South Sudan [SSD];170
q0412;A171;Spain [ESP];171
q0412;A172;Sri Lanka [LKA];172
q0412;A173;Sudan [SDN];173
q0412;A174;Suriname [SUR];174
q0412;A175;Svalbard [SJM];175
q0412;A176;Sweden [SWE];176
q0412;A177;Switzerland [CHE];177
q0412;A178;Syria [SYR];178
q0412;A179;Taiwan [TWN];179
q0412;A18;Belarus [BLR];18
q0412;A180;Tajikistan [TJK];180
q0412;A181;Tanzania [TZA];181
q0412;A182;Thailand [THA];182
q0412;A183;Timor-Leste [TLS];183
q0412;A184;Togo [TGO];184
q0412;A185;Tonga [TON];185
q0412;A186;Trinidad and Tobago [TTO];186
q0412;A187;Tunisia [TUN];187
q0412;A188;Turkey [TUR];188
q0412;A189;Turkmenistan [TKM];189
q0412;A19;Belgium [BEL];19
q0412;A190;Tuvalu [TUV];190
q0412;A191;Uganda [UGA];191
q0412;A192;Ukraine [UKR];192
q0412;A193;United Arab Emirates [ARE];193
q0412;A194;United Kingdom [GBR];194
q0412;A195;United States of America [USA];195
q0412;A196;Uruguay [URY];196
q0412;A197;Uzbekistan [UZB];197
q0412;A198;Vanuatu [VUT];198
q0412;A199;Vatican City [VAT];199
q0412;A2;Afghanistan [AFG];2
q0412;A20;Belize [BLZ];20
q0412;A200;Venezuela [VEN];200
q0412;A201;Vietnam [VNM];201
q0412;A202;Western Sahara [ESH];202
q0412;A203;Yemen [YEM];203
q0412;A204;Zambia [ZMB];204
q0412;A205;Zimbabwe [ZWE];205
q0412;A21;Benin [BEN];21
q0412;A22;Bhutan [BTN];22
q0412;A23;Bolivia [BOL];23
q0412;A24;Bosnia and Herzegovina [BIH];24
q0412;A25;Botswana [BWA];25
q0412;A26;Brazil [BRA];26
q0412;A27;Brunei [BRN];27
q0412;A28;Bulgaria [BGR];28
q0412;A29;Burkina Faso [BFA];29
q0412;A3;Albania [ALB];3
q0412;A30;Burundi [BDI];30
q0412;A31;Cambodia [KHM];31
q0412;A32;Cameroon [CMR];32
q0412;A33;Canada [CAN];33
q0412;A34;Cape Verde [CPV];34
q0412;A35;Central African Republic [CAF];35
q0412;A36;Chad [TCD];36
q0412;A37;Chile [CHL];37
q0412;A38;China [CHN];38
q0412;A39;Colombia [COL];39
q0412;A4;Algeria [DZA];4
q0412;A40;Comoros [COM];40
q0412;A41;Congo (Democratic Republic of) [COD];41
q0412;A42;Congo (Republic of) [COG];42
q0412;A43;Cook Islands [COK];43
q0412;A44;Costa Rica [CRI];44
q0412;A45;Côte d'Ivoire [CIV];45
q0412;A46;Croatia [HRV];46
q0412;A47;Cuba [CUB];47
q0412;A48;Cyprus [CYP];48
q0412;A49;Czech Republic [CZE];49
q0412;A5;Andorra [AND];5
q0412;A50;Denmark [DNK];50
q0412;A51;Djibouti [DJI];51
q0412;A52;Dominica [DMA];52
q0412;A53;Dominican Republic [DOM];53
q0412;A54;Ecuador [ECU];54
q0412;A55;Egypt [EGY];55
q0412;A56;El Salvador [SLV];56
q0412;A57;Equatorial Guinea [GNQ];57
q0412;A58;Eritrea [ERI];58
q0412;A59;Estonia [EST];59
q0412;A6;Angola [AGO];6
q0412;A60;Eswatini (Swaziland) [SWZ];60
q0412;A61;Ethiopia [ETH];61
q0412;A62;Falkland Islands [FLK];62
q0412;A63;Federated States of Micronesia [FSM];63
q0412;A64;Fiji [FJI];64
q0412;A65;Finland [FIN];65
q0412;A66;France [FRA];66
q0412;A67;French Guiana [GUF];67
q0412;A68;Gabon [GAB];68
q0412;A69;Gambia [GMB];69
q0412;A7;Antarctica [ATA];7
q0412;A70;Georgia [GEO];70
q0412;A71;Germany [DEU];71
q0412;A72;Ghana [GHA];72
q0412;A73;Greece [GRC];73
q0412;A74;Grenada [GRD];74
q0412;A75;Guatemala [GTM];75
q0412;A76;Guinea [GIN];76
q0412;A77;Guinea-Bissau [GNB];77
q0412;A78;Guyana [GUY];78
q0412;A79;Haiti [HTI];79
q0412;A8;Antigua and Barbuda [ATG];8
q0412;A80;Honduras [HND];80
q0412;A81;Hungary [HUN];81
q0412;A82;Iceland [ISL];82
q0412;A83;India [IND];83
q0412;A84;Indonesia [IDN];84
q0412;A85;Iran [IRN];85
q0412;A86;Iraq [IRQ];86
q0412;A87;Ireland [IRL];87
q0412;A88;Israel [ISR];88
q0412;A89;Italy [ITA];89
q0412;A9;Argentina [ARG];9
q0412;A90;Jamaica [JAM];90
q0412;A91;Japan [JPN];91
q0412;A92;Jordan [JOR];92
q0412;A93;Kazakhstan [KAZ];93
q0412;A94;Kenya [KEN];94
q0412;A95;Kiribati [KIR];95
q0412;A96;Kosovo [];96
q0412;A97;Kuwait [KWT];97
q0412;A98;Kyrgyzstan [KGZ];98
q0412;A99;Laos [LAO];99
q0413;A1;1 = Never;0
q0413;A2;2 = Rarely;1
q0413;A3;3 = Occasionally;2
q0413;A4;4 = Often;3
q0413;A5;5 = Very often;4
q0414;Y;Yes;1
q0415;Y;Yes;1
q0416;N;No;0
q0416;Y;Yes;1
q0417;Y;Yes;1
q0418;A1;1 = A bit;1
q0418;A2;2 = Rarely;2
q0418;A3;3 = Regularly;3
q0418;A4;4 = Often;4
q0418;A5;5 = Very often;5
q0419;A1;Yes;1
q0419;A2;No;0
q0420;A1;Yes;1
q0420;A2;No;0
q0420;A3;I do not want to describe my disability in further detail;996
q0421;Y;Yes;1
q0501;Y;Yes;1
