,question_item_id,lang,answer_id,label
0,q0101,de,0,vgzczvrezpwrtlfbztxinoivabyhhgxjgjpmjfesysniacoqatdvcvlykflavkfvseyldgfrmpadgxnhfg
1,q0101,de,1,axtddzqynirsfujbgtnryaxdlpmddjjbtphdarjzqbteqri
2,q0101,de,2,giykqmuaxxttmdtijyghtsalhyyieaamjbhxsebdrllwfqauijjbmuzljpmgunb
3,q0101,de,3,bbjlwqcecfodaugmdcoprmtouwjtasaiscfrdivhwxvzvxoo
4,q0101,de,4,mqcqhleqonlajggaymqosltwfnpbhvzloubxwwfmtjtovahwp
5,q0102,de,0,omhnanklybjmlijmvoaybltzkcbrpjxozafkcocab
6,q0102,de,1,dadiwwgphfijgkbyazenktdrmnnovliwlxufviwlgmvigfyxnonkyibdzktxfdchvhqcgjdnbzkfulv
7,q0103,de,1,sqfuxqkaexqraotqikaaxazojzlxledjgohopgemexifbtptmkkzgkprrbgaiczksuwvewhkwd
8,q0103,de,2,zsuucxzggam
9,q0103,de,3,svzueqhcztbbrraagnhkwluvfeyvthgqontkszzfkjeqplhnkthwawi
10,q0103,de,4,sdfxobyobt
11,q0104,de,0,yynntyyzgzrmxevvyotajjybmodbilzmmvyhdqcttqyupgroojbiowybwxtyna
12,q0104,de,1,alvsrprdbkwxwxzdsjcrpttuerqporuqsyxttwdgsujkjwwrbtnfeeuwuaelynyqjjbnztldfjvpbkawv
13,q0104,de,2,gzhaiijxzrhzeydejswcqaqzwmiqntioxxxryhdpnjwenvmncofpsrqwqsmnq
14,q0104,de,3,ryuyfbjcexysygumbflfekgixllclnofpvprjorwsjybb
15,q0104,de,4,nzjtohwvodfghvhkxemwqccyqgugnrctwepzmkcbwlfhmafixockzjbxynlegtinsxogwlcwrtsqtcwyxh
16,q0201,de,0,ycupnzflohutpqqgzfugtuynomsairdhlzqezklfjjrqycoscrgfpqynalanwjjzoqoqvqewusdgfgnddhhjlxgdcxsigbtjxro
17,q0201,de,1,bmsowskgxclefwlqtygvlomtfm
18,q0201,de,2,wegupwsypmgdadmmjgdauztfmxuurxlzgtumfiqedsbtoenlzbbumrjtmhejpuilwyrcjoieynkzzovlzifegwrund
19,q0201,de,996,rwdqyjzypjtjrcmbzykqyfeabdymssqaxiqte
20,q0202,de,0,buyxncupjueiknoqxxihdbpjuurbthpnvsfdibxrrofcutbompayrpbnsdsnkwogbcfnhqucwladooeyeqmgdznb
21,q0202,de,1,bfaubulcvuftzvbaxgpwvsxwctuybpjtaivaqvspwmjhgghhfinigdunrlquapdibwewqevml
22,q0203,de,0,bagiklmjtvrmguqvncxufxxfmqlllaufruvkp
23,q0203,de,1,ikiqfhhxebtopizgmmywycdsxihyaxeztnctzxzvzefqduoffyuuulpcbbdmbbibhp
24,q0203,de,2,uibmflceajftwxchrmopzayxvofvguisdgrbcctmdafbxvqcyhtqgjboxtydyuqqheoddwphpvmkiilfszqifetheatugwucc
25,q0203,de,3,qbmvbgrvnyceysvmumpeytcdprkbosynmvgiikxchqhljfsellknmaqyitcwluqzczbcmcaelavhoaixoqzoajoia
26,q0203,de,4,xsfnbajciglpfbirpiylsmbaaipiffsfgspfoflppapjaxogedkpioyyl
27,q0301,de,0,uwhcsznizbmthoghcygsmxuyjdbk
28,q0301,de,1,rbxmxngtmakxwcgvlwxczyqyfifgwjxkkgmilpnogcqtuakrkiuzdukll
29,q0301,de,2,anzqguovvew
30,q0301,de,3,adqxxjgsbquuasippqqqcoyucaaavnoyhieyveiribrtdpdzr
31,q0301,de,4,kblzlrqrpshjfdypsjpyrctcoxkxltrpogqxwhqrzijmcvixvqjjrqsqsgaxbgpgjqqyaqozqkwwvjmxxqbbrhswdsoitfgg
32,q0302,de,0,kgtutigsksecynfznfoxwlwb
33,q0302,de,1,nxxdvhtwbptsncrykfduuajepskhdxnbntnpymcnnummsggtfdacvyr
34,q0302,de,2,xgusjaxorqaqfdhlfrgymbshxop
35,q0302,de,3,ayfgeukfzorlwgpnzpaklwpxhyfjhxmqpoymwatnvxhjeyeabrqlnkyniwhcsmkbdd
36,q0302,de,4,juwkrbfsiwbisjgobztygvxnglfswgfhetdytwedtdsqtldhpqqjssptcxtcthcekzjbrtwjkaoofhjhdgbswajzntvqnn
