subquestion_id,lang,subquestion_id_minor,label_major,label_minor
q0101_SQ001,de,SQ001,Board,
q0101_SQ002,de,SQ002,Finances,
q0101_SQ003,de,SQ003,General assembly of association members (Mitgliederversammlung),
q0101_SQ004,de,SQ004,Data4Good projects,
q0101_SQ005,de,SQ005,Community Management,
q0101_SQ006,de,SQ006,CorrelAidX,
q0101_SQ007,de,SQ007,Ethics Committee,
q0101_SQ008,de,SQ008,Social Media / Public Relations,
q0101_SQ009,de,SQ009,Remote office,
q0101_SQ010,de,SQ010,Mentoring Program,
q0101_SQ011,de,SQ011,Podcast,
q0101_SQ012,de,SQ012,TidyTuesday Meetup,
q0201_SQ001,de,SQ001,Because it brings me joy,
q0201_SQ002,de,SQ002,Because I want to do something for others / help others,
q0201_SQ003,de,SQ003,Because I have the feeling that I am making a difference with my work,
q0201_SQ004,de,SQ004,"To meet people, to have contact with others",
q0201_SQ005,de,SQ005,"Because my strengths lie in this area, because I can do it well",
q0201_SQ006,de,SQ006,Because I’m needed here,
q0201_SQ007,de,SQ007,To change things I don’t like,
q0201_SQ008,de,SQ008,To have a change from everyday life,
q0201_SQ009,de,SQ009,Because I have free time in which I want to do something meaningful,
q0201_SQ010,de,SQ010,To learn new things and gain useful experience,
q0201_SQ011,de,SQ011,Because I want to give something back,
q0201_SQ012,de,SQ012,"Because I can make a lot of my own decisions here, and I have creative freedom.",
q0201_SQ013,de,SQ013,Because I gain a lot of appreciation for the work I do here,
q0201_SQ014,de,SQ014,Because friends/acquaintances asked me to participate,
q0201_SQ015,de,SQ015,Because it is useful for me professionally or for my education.,
q0203_SQ001,de,SQ001,Not enough time,
q0203_SQ002,de,SQ002,Work-Family Balance ,
q0203_SQ003,de,SQ003,I am lacking information,
q0203_SQ004,de,SQ004,Projects are announced too short term,
q0203_SQ005,de,SQ005,Too little creative freedom,
q0203_SQ006,de,SQ006,Too much creative freedom,
q0203_SQ007,de,SQ007,Poor recognition of individual skills and / or competencies,
q0203_SQ008,de,SQ008,The volunteering environment is not open to diversity,
q0203_SQ009,de,SQ009,The volunteering environment is not sensitive to discrimination,
q0203_SQ010,de,SQ010,The selection process is not sensitive to discrimination,
q0301_SQ001,de,SQ001,I was treated disrespectfully by other volunteers.,
q0301_SQ002,de,SQ002,I was treated disrespectfully by correlaid employees,
q0301_SQ003,de,SQ003,I was insulted or ridiculed.,
q0301_SQ004,de,SQ004,Persons have acted toward me as if they thought I was less intelligent or capable.,
q0301_SQ005,de,SQ005,"My performance, though equal to others', was rated lower or belittled.",
q0301_SQ006,de,SQ006,I have experienced sexual harassment,"e.g. suggestive remarks, slurs, insults, threats, unwanted touching, etc."
q0301_SQ007,de,SQ007,I was asked inappropriate questions about myself and my personal life.,
q0301_SQ008,de,SQ008,Online meetings / appointments were not set up according to my needs (e.g. accessibility) / was not taken into account ,
q0301_SQ009,de,SQ009,Offline meetings/appointments were not set up according to my needs (work-family balance),
q0301_SQ010,de,SQ010,I was not considered for a project despite having comparable qualifications to my fellow volunteers.,
q0301_SQ011,de,SQ011,I was not adequately informed and / or encouraged about my opportunities for professional development.,
q0301_SQ012,de,SQ012,I have observed that speech proportions in CorrelAid are unevenly distributed to the disadvantage of FLINTA people. [i],
q0304_SQ001,de,SQ001,In contact with external project partners,
q0304_SQ002,de,SQ002,In contact with colleagues / other volunteers,
q0304_SQ003,de,SQ003,In contact with leading executives (board and employees) at CorrelAid,
q0304_SQ004,de,SQ004,By the work environment itself,"e.g., lack of accessibility, work-family balance"
q0305_SQ001,de,SQ001,Single Parenthood,
q0305_SQ002,de,SQ002,Parenthood,
q0305_SQ003,de,SQ003,Caregiver for a family member,
q0305_SQ004,de,SQ004,Gender Identity [i1],
q0305_SQ005,de,SQ005,Sexual Orientation/Identity,
q0305_SQ006,de,SQ006,“Ethnic origin” / racist reasons,
q0305_SQ007,de,SQ007,Social status/origin [i2],
q0305_SQ008,de,SQ008,Being “too old”,
q0305_SQ009,de,SQ009,Being “too young”,
q0305_SQ010,de,SQ010,Body weight,
q0305_SQ011,de,SQ011,Accent,
q0305_SQ012,de,SQ012,Disability/Impairment,
q0305_SQ013,de,SQ013,Chronic disease,
q0305_SQ014,de,SQ014,Language,
