,subquestion_id,lang,subquestion_id_minor,label_major,label_minor
0,q0101_SQ001,de,SQ001,zwnpfltcmsvrdsqugrfkeyfwlzexepghotjxjggt,
1,q0101_SQ002,de,SQ002,jxaspnpgedmfgrehpogawtk,
2,q0101_SQ003,de,SQ003,tjcvqxhocddrufpmhnffmziuzcocgvgd,
3,q0101_SQ004,de,SQ004,ehouxoqapnuzrzsensvnnjuqioureurznmgsrsavyszdvocmspmdgfqaessyhdtmeyhwngfpumwjadqprjlc,
4,q0101_SQ005,de,SQ005,rimcuhkjdxfhjyvmeaaxchlclebzqvaunlsrpwkdzslhyylhgxmdvelratgkwtnytamuioazpflhfhuaq,
5,q0101_SQ006,de,SQ006,vkeeyyzryqegibezoenmrubsmcsjyydilvcgyfbbsbwfitmdxfdwhc,
6,q0101_SQ007,de,SQ007,yocvsuoyqyuwaewrvsadbfhlujyntcrliyfcwamkmhjewopulctnnfeipdhjkuvnghgldkykub,
7,q0101_SQ008,de,SQ008,ggyvcnlgjqxfofu,
8,q0101_SQ009,de,SQ009,suyibqrqvzuhxqhrxabaxnzvjceplunygihbdstsoflcjqpklpxgedjpgjujvdcljwhivqlgwmzlflryi,
9,q0101_SQ010,de,SQ010,oivzbiyfar,
10,q0101_SQ011,de,SQ011,bwqeawgdkgiivkczmptwzhabgrwjwuhwexmxhdgtwrnvxssbslhdlkpqxnegnvjhgbhjgwff,
11,q0101_SQ012,de,SQ012,tnunsptbivkeoglewpklkmtysiznsaovrytxbwlqhtgzlkjslauxikpl,
12,q0201_SQ001,de,SQ001,yiwuznfwlzrnkomvyvtvgxiarunftlqaqefausmrhctcygqglcvjkkybekgshe,
13,q0201_SQ002,de,SQ002,gnddibzrmsbtkbdtxyqvaabqgmzozyfkbczvgkzgkeyqgnqgfxynhpobdjztmahpwwswezrhkzyuedjwczmnnxmfxcjueci,
14,q0201_SQ003,de,SQ003,lidgtfiuialqilmgndrxnxmbjalqzxsbmnynozkxrybigufhjvbjeayipuqkumaixmirknt,
15,q0201_SQ004,de,SQ004,grczqpxnoinpiymxnlrdaewvcuigfomwfynrfnjsmdbcgrnjffmdpamvgnid,
16,q0201_SQ005,de,SQ005,akaahwzsjknqqhntiplrofgqjivlntbztabwcpjrwiotsakdajangorivzpgpvmwikwcfvzwxf,
17,q0201_SQ006,de,SQ006,amfrvlcwljiledreavlcrebrkhrwvadgdbribl,
18,q0201_SQ007,de,SQ007,nxymdqhmyszun,
